0,1,2
70,0,Water
90,0,Water
150,0,Water
160,0,Water
170,0,Water
310,0,Water
350,0,Water
360,0,Water
450,0,Water
460,0,Water
470,0,Water
500,0,Water
530,0,Water
560,0,Water
630,0,Water
640,0,Water
650,0,Water
660,0,Water
710,0,Water
870,0,Water
1090,0,Water
1210,0,Water
1230,0,Water
1250,0,Water
1260,0,Water
1280,0,Water
1420,0,Water
1520,0,Water
1540,0,Water
1750,0,Water
2130,0,Water
2210,0,Water
2220,0,Water
2230,0,Water
2240,0,Water
2260,0,Water
2270,0,Water
2280,0,Water
2370,0,Water
2410,0,Water
2420,0,Water
2430,0,Water
2470,0,Water
2480,0,Water
2500,0,Water
2760,0,Water
2810,0,Water
2820,0,Water
2830,0,Water
2870,0,Water
2880,0,Water
2970,0,Water
3340,0,Water
3460,0,Water
3520,0,Water
3560,0,Water
3570,0,Water
3580,0,Water
3620,0,Water
3660,0,Water
3670,0,Water
3690,0,Water
3960,0,Water
4020,0,Water
4140,0,Water
4150,0,Water
4180,0,Water
4220,0,Water
4400,0,Water
4520,0,Water
4530,0,Water
4570,0,Water
100,10,Water
670,10,Water
730,10,Water
1480,10,Water
1490,10,Water
1530,10,Water
1540,10,Water
1550,10,Water
1560,10,Water
1570,10,Water
1580,10,Water
1590,10,Water
1640,10,Water
1650,10,Water
1660,10,Water
1670,10,Water
1680,10,Water
1690,10,Water
1700,10,Water
1710,10,Water
1720,10,Water
1730,10,Water
1740,10,Water
1770,10,Water
1780,10,Water
1790,10,Water
1800,10,Water
1810,10,Water
1820,10,Water
1840,10,Water
1850,10,Water
1860,10,Water
1870,10,Water
1880,10,Water
1890,10,Water
1900,10,Water
1910,10,Water
1920,10,Water
1940,10,Water
1950,10,Water
1960,10,Water
1970,10,Water
1980,10,Water
1990,10,Water
2000,10,Water
2010,10,Water
2020,10,Water
2030,10,Water
2040,10,Water
2050,10,Water
2060,10,Water
2070,10,Water
2080,10,Water
2090,10,Water
2100,10,Water
2110,10,Water
2120,10,Water
2140,10,Water
2150,10,Water
3560,10,Water
3570,10,Water
3870,10,Water
200,20,Water
210,20,Water
1480,20,Water
1490,20,Water
1500,20,Water
1510,20,Water
1540,20,Water
1550,20,Water
1560,20,Water
1570,20,Water
1580,20,Water
1590,20,Water
1640,20,Water
1650,20,Water
1660,20,Water
1670,20,Water
1680,20,Water
1690,20,Water
1700,20,Water
1710,20,Water
1730,20,Water
1740,20,Water
1780,20,Water
1790,20,Water
1800,20,Water
1810,20,Water
1820,20,Water
1840,20,Water
1850,20,Water
1860,20,Water
1870,20,Water
1880,20,Water
1890,20,Water
1900,20,Water
1910,20,Water
1940,20,Water
1950,20,Water
1960,20,Water
1970,20,Water
1980,20,Water
1990,20,Water
2000,20,Water
2010,20,Water
2020,20,Water
2030,20,Water
2040,20,Water
2050,20,Water
2060,20,Water
2070,20,Water
2080,20,Water
2090,20,Water
2100,20,Water
2110,20,Water
2120,20,Water
2400,20,Water
2410,20,Water
2480,20,Water
3350,20,Water
200,30,Water
1480,30,Water
1490,30,Water
1500,30,Water
1510,30,Water
1560,30,Water
1570,30,Water
1580,30,Water
1590,30,Water
1650,30,Water
1660,30,Water
1680,30,Water
1730,30,Water
1740,30,Water
1780,30,Water
1790,30,Water
1800,30,Water
1810,30,Water
1820,30,Water
1830,30,Water
1850,30,Water
1860,30,Water
1870,30,Water
1880,30,Water
1900,30,Water
1910,30,Water
1930,30,Water
1940,30,Water
1950,30,Water
1960,30,Water
1970,30,Water
1980,30,Water
1990,30,Water
2000,30,Water
2010,30,Water
2020,30,Water
2030,30,Water
2040,30,Water
2050,30,Water
2060,30,Water
2070,30,Water
2080,30,Water
2090,30,Water
2100,30,Water
2110,30,Water
2120,30,Water
2130,30,Water
2140,30,Water
2150,30,Water
2360,30,Water
2370,30,Water
2380,30,Water
2390,30,Water
2400,30,Water
2430,30,Water
2480,30,Water
3360,30,Water
200,40,Water
1490,40,Water
1500,40,Water
1580,40,Water
1590,40,Water
1600,40,Water
1640,40,Water
1650,40,Water
1660,40,Water
1670,40,Water
1680,40,Water
1690,40,Water
1700,40,Water
1710,40,Water
1720,40,Water
1730,40,Water
1740,40,Water
1770,40,Water
1780,40,Water
1790,40,Water
1800,40,Water
1810,40,Water
1820,40,Water
1830,40,Water
1840,40,Water
1860,40,Water
1870,40,Water
1880,40,Water
1890,40,Water
1900,40,Water
1910,40,Water
1930,40,Water
